Animal Type,Breed,Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Appetite Loss,Vomiting,Diarrhea,Coughing,Labored Breathing,Lameness,Skin Lesions,Body Temperature,Heart Rate,Disease Prediction,Treatment,Advice Prevention
Cat,Persian,5,Male,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,Yes,Yes,No,Yes,No,Yes,Yes,38.9°C,148,Feline Herpesvirus,Famciclovir (antiviral) orally for active outbreaks; topical idoxuridine or trifluridine eye drops for ocular herpes. L-lysine supplementation (500 mg/day) may reduce viral replication. Antibiotics for secondary infections.,Annual FVRCP vaccine reduces severity of disease. Minimize stress (a key reactivation trigger). Use lysine-supplemented food as long-term management.
Cow,Hereford,7,Female,Loss Of Appetite,Fever,Coughing,Lethargy,Yes,No,Yes,Yes,No,Yes,Yes,39.5°C,80,Bovine Johne'S Disease,"No effective curative treatment available. Supportive nutrition with high-energy, easily digestible feed can extend productive life. Cull confirmed-positive animals to prevent herd spread.","Implement a Johne's disease herd management program: annual ELISA testing, test-and-cull strategy. Prevent fecal contamination of feed and water. Separate calves from adult cows at birth."
Dog,Cocker Spaniel,5,Female,Vomiting,Lethargy,Loss Of Appetite,Fever,Yes,Yes,No,No,Yes,No,No,39.2°C,123,Canine Leptospirosis,Ampicillin or amoxicillin (initial 2-week course) to clear leptospiremia; followed by doxycycline (4 weeks) to eliminate renal carrier state. IV fluids for renal and hepatic support; dialysis in severe renal failure.,"Leptospirosis (4-serovar) vaccine annually, especially for dogs with outdoor/water exposure. Avoid contact with stagnant water and wildlife urine. Rodent control around property."
Cat,Scottish Fold,4,Male,Coughing,Loss Of Appetite,Fever,Lethargy,Yes,No,Yes,No,No,Yes,No,38.8°C,147,Feline Chlamydia,Doxycycline (10 mg/kg once daily) for a minimum of 4-6 weeks is the treatment of choice. Topical tetracycline or chloramphenicol eye ointment applied twice daily for conjunctival involvement.,Treat all cats in the household simultaneously to prevent re-infection. A Chlamydophila felis vaccine is available; hygiene and reducing cat-to-cat contact are essential preventive measures.
Cow,Jersey,5,Female,Coughing,Nasal Discharge,Lethargy,Fever,Yes,Yes,Yes,No,Yes,No,No,39.5°C,81,Bovine Viral Diarrhea,"• Management — other short-term infected cattle will usually recover, they might need to be monitored for respiratory diseases like pneumonia. • Humane destruction — PI and MD calves should be humanely euthanized","• Vaccinations — vaccines are available, but more widely used in breeding herd before joining. • Management — avoid mixing susceptible cattle, especially when their BVDV status is unknown. • Management — introducing PI cattle to healthy, non-pregnant cows is sometimes used to immunize the herd, but individual animal’s exposure is unknown."
Dog,German Shepherd,4,Female,Lethargy,Loss Of Appetite,Coughing,Fever,Yes,No,Yes,Yes,No,Yes,Yes,39.4°C,120,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Maine Coon,3,Male,Lethargy,Vomiting,Loss Of Appetite,Diarrhea,Yes,Yes,No,Yes,Yes,Yes,No,39.1°C,148,Feline Infectious Peritonitis,"GS-441524 (antiviral, 4-6 mg/kg SQ or orally) for 12 weeks is the current gold-standard treatment with high remission rates. Prednisolone as supportive anti-inflammatory; drainage of effusions for comfort.",Reduce fecal-oral transmission of FCoV in multi-cat households (daily litter box cleaning). Minimize stress. An intranasal FIP vaccine is available in some countries but efficacy is debated.
Cow,Holstein,5,Female,Coughing,Fever,Loss Of Appetite,Lethargy,Yes,No,Yes,Yes,No,Yes,Yes,39.3°C,82,Bovine Respiratory Syncytial Virus,"Supportive care: anti-inflammatories (flunixin meglumine), bronchodilators, and oxygen therapy for severe cases. Antibiotics for secondary bacterial pneumonia.",BRSV vaccination in cow-calf programs (vaccinate dams pre-calving for passive immunity). Avoid overcrowding calves. Ensure colostrum intake within 6 hours of birth.
Dog,Poodle,6,Male,Lethargy,Loss Of Appetite,Coughing,Fever,Yes,Yes,No,Yes,No,No,Yes,39.3°C,110,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cat,Russian Blue,3,Female,Nasal Discharge,Coughing,Loss Of Appetite,Lethargy,Yes,No,Yes,No,Yes,No,Yes,38.9°C,145,Feline Leukemia Virus,"Immunostimulants (Lymphocyte T-Cell Immunomodulator, LTCI) and supportive care. Antiviral treatments (zidovudine) in some cases. Treat all secondary infections aggressively with antibiotics or antifungals.",FeLV vaccination is the primary preventive. Quarantine and test any new cat entering the home. Spay/neuter to reduce fighting and virus transmission.
Cow,Guernsey,7,Male,Coughing,Lethargy,Loss Of Appetite,Swollen Legs,Yes,No,No,Yes,Yes,Yes,Yes,39.1°C,78,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Golden Retriever,7,Male,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,Yes,No,Yes,Yes,No,39.2°C,118,Canine Leptospirosis,Ampicillin or amoxicillin (initial 2-week course) to clear leptospiremia; followed by doxycycline (4 weeks) to eliminate renal carrier state. IV fluids for renal and hepatic support; dialysis in severe renal failure.,"Leptospirosis (4-serovar) vaccine annually, especially for dogs with outdoor/water exposure. Avoid contact with stagnant water and wildlife urine. Rodent control around property."
Cat,Burmese,4,Male,Nasal Discharge,Coughing,Loss Of Appetite,Lethargy,Yes,No,No,Yes,No,Yes,Yes,39.0°C,150,Feline Calicivirus,"Supportive care: IV/SQ fluid therapy, nutritional support, and appetite stimulants. NSAIDs (meloxicam) for fever and oral ulcer pain; antibiotics (doxycycline) for secondary bacterial infections.",Annual FVRCP vaccination is the most effective preventive. Isolate infected cats immediately and disinfect shared surfaces with bleach solution. Reduce stress and overcrowding in multi-cat households.
Cow,Aberdeen Angus,6,Female,Coughing,Fever,Loss Of Appetite,Lethargy,Yes,No,Yes,No,Yes,Yes,Yes,39.2°C,80,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Bulldog,5,Female,Lethargy,Coughing,Loss Of Appetite,Fever,Yes,No,No,Yes,Yes,Yes,No,39.3°C,115,Kennel Cough,"Doxycycline (5 mg/kg orally twice daily for 10 days) for Bordetella; cough suppressants (hydrocodone, butorphanol) for comfort. Severe or complicated cases (pneumonia) may need hospitalization and IV antibiotics.","Bordetella, parainfluenza, and adenovirus-2 vaccines required before kennel stays or group activities. Ensure good kennel ventilation. Disinfect shared items. Isolate coughing dogs."
Cat,Siamese,6,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,No,Yes,No,No,Yes,39.0°C,149,Feline Infectious Peritonitis,"GS-441524 (antiviral, 4-6 mg/kg SQ or orally) for 12 weeks is the current gold-standard treatment with high remission rates. Prednisolone as supportive anti-inflammatory; drainage of effusions for comfort.",Reduce fecal-oral transmission of FCoV in multi-cat households (daily litter box cleaning). Minimize stress. An intranasal FIP vaccine is available in some countries but efficacy is debated.
Cow,Ayrshire,4,Male,Coughing,Lethargy,Loss Of Appetite,Swollen Legs,Yes,No,Yes,Yes,No,Yes,Yes,39.1°C,79,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Beagle,4,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,Yes,No,No,Yes,39.2°C,125,Canine Influenza,"Supportive care with fluids, rest, and nutritional support. Doxycycline or amoxicillin-clavulanate for secondary bacterial pneumonia. Antivirals (oseltamivir) may be considered for severe H3N2 cases.","Bivalent canine influenza vaccine (covers H3N2 and H3N8). Keep up-to-date vaccination; especially important for dogs that visit kennels, dog parks, or groomers."
Cat,Bengal,3,Male,Nasal Discharge,Coughing,Loss Of Appetite,Fever,Yes,Yes,No,Yes,Yes,No,Yes,39.0°C,140,Feline Calicivirus,"Supportive care: IV/SQ fluid therapy, nutritional support, and appetite stimulants. NSAIDs (meloxicam) for fever and oral ulcer pain; antibiotics (doxycycline) for secondary bacterial infections.",Annual FVRCP vaccination is the most effective preventive. Isolate infected cats immediately and disinfect shared surfaces with bleach solution. Reduce stress and overcrowding in multi-cat households.
Cow,Jersey,5,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,Yes,Yes,Yes,Yes,39.1°C,79,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Chihuahua,3,Male,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,No,Yes,Yes,No,Yes,39.0°C,118,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Scottish Fold,5,Female,Nasal Discharge,Coughing,Loss Of Appetite,Fever,Yes,Yes,Yes,Yes,No,Yes,No,38.9°C,150,Feline Infectious Peritonitis,"GS-441524 (antiviral, 4-6 mg/kg SQ or orally) for 12 weeks is the current gold-standard treatment with high remission rates. Prednisolone as supportive anti-inflammatory; drainage of effusions for comfort.",Reduce fecal-oral transmission of FCoV in multi-cat households (daily litter box cleaning). Minimize stress. An intranasal FIP vaccine is available in some countries but efficacy is debated.
Cow,Simmental,4,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,Yes,Yes,Yes,No,39.3°C,78,Bovine Respiratory Syncytial Virus,"Supportive care: anti-inflammatories (flunixin meglumine), bronchodilators, and oxygen therapy for severe cases. Antibiotics for secondary bacterial pneumonia.",BRSV vaccination in cow-calf programs (vaccinate dams pre-calving for passive immunity). Avoid overcrowding calves. Ensure colostrum intake within 6 hours of birth.
Dog,Rottweiler,5,Female,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,No,Yes,Yes,Yes,Yes,No,39.3°C,122,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cat,Abyssinian,3,Male,Nasal Discharge,Coughing,Loss Of Appetite,Fever,Yes,No,Yes,No,Yes,Yes,Yes,39.0°C,142,Feline Leukemia Virus,"Immunostimulants (Lymphocyte T-Cell Immunomodulator, LTCI) and supportive care. Antiviral treatments (zidovudine) in some cases. Treat all secondary infections aggressively with antibiotics or antifungals.",FeLV vaccination is the primary preventive. Quarantine and test any new cat entering the home. Spay/neuter to reduce fighting and virus transmission.
Cow,Dexter,3,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,Yes,No,Yes,39.3°C,79,Bovine Viral Diarrhea,"• Management — other short-term infected cattle will usually recover, they might need to be monitored for respiratory diseases like pneumonia. • Humane destruction — PI and MD calves should be humanely euthanized","• Vaccinations — vaccines are available, but more widely used in breeding herd before joining. • Management — avoid mixing susceptible cattle, especially when their BVDV status is unknown. • Management — introducing PI cattle to healthy, non-pregnant cows is sometimes used to immunize the herd, but individual animal’s exposure is unknown."
Dog,Golden Retriever,7,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,Yes,Yes,No,Yes,39.0°C,130,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cat,Persian,6,Female,Nasal Discharge,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,No,No,Yes,39.1°C,148,Feline Coronavirus,"No cure for FCoV infection itself; supportive care to maintain immune function. If progression to FIP occurs, GS-441524 (nucleoside analog antiviral) given for 12 weeks has shown strong efficacy. Prednisolone helps manage inflammation.","Reduce environmental stress and overcrowding in multi-cat settings. Practice strict litter box hygiene (one box per cat, cleaned daily). Quarantine new cats for 4 weeks before introduction."
Cow,Charolais,3,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,No,Yes,Yes,No,39.2°C,77,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Poodle,3,Female,Vomiting,Diarrhea,Lethargy,Fever,Yes,No,Yes,No,Yes,Yes,Yes,39.0°C,120,Parvovirus,"Hospitalization with IV crystalloid fluids, colloids if albumin is low, antiemetics (maropitant), and broad-spectrum antibiotics. Anti-endotoxin therapy; early enteral nutrition improves outcomes. Oseltamivir as adjunct in some protocols.",DHPP vaccination is core and highly protective. Ensure complete puppy series and triennial adult boosters. Contaminated environments should be disinfected with 1:30 bleach. Quarantine sick puppies.
Cat,Maine Coon,5,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,Yes,No,Yes,39.1°C,145,Feline Upper Respiratory Infection,Doxycycline or amoxicillin-clavulanate for bacterial infections; nasal decongestants and saline flushes. Antiviral famciclovir if herpesvirus suspected. Syringe feeding and appetite stimulants if not eating.,"Vaccinate with FVRCP; isolate sick cats promptly. Provide warm, draft-free rest area. Regular cleaning of nasal discharge to keep airways clear."
Cow,Holstein,4,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,No,Yes,No,Yes,39.3°C,77,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,German Shepherd,4,Male,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.1°C,130,Canine Hepatitis,"Supportive care: IV fluids with dextrose, hepatoprotectants (SAMe, milk thistle/silymarin), broad-spectrum antibiotics. Avoid hepatotoxic drugs. Plasma transfusion for coagulopathy.",Core CAV-2 vaccine provides cross-protection against CAV-1 (hepatitis virus). Annual booster as part of DHPP vaccination. Isolate infected dogs.
Cat,Sphynx,3,Female,Nasal Discharge,Loss Of Appetite,Coughing,Fever,Yes,No,Yes,No,Yes,Yes,No,39.0°C,155,Feline Rhinotracheitis,Famciclovir (antiviral) is the preferred oral treatment; topical antiviral eye drops for corneal ulcers. L-lysine supplementation; broad-spectrum antibiotics for secondary bacterial sinusitis.,Core FVRCP vaccination reduces clinical severity. Long-term L-lysine supplementation may reduce viral recurrence. Stress is the primary trigger for reactivation — manage environmental stressors.
Cow,Guernsey,5,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,No,Yes,Yes,Yes,39.0°C,78,Bovine Parainfluenza,Supportive care with fluids and electrolytes; NSAIDs (flunixin meglumine) for fever. Antibiotics (tulathromycin or florfenicol) for secondary bacterial pneumonia.,"Include BPI3 in bovine respiratory vaccination programs. Reduce stress at weaning, transport, and mixing. Good housing ventilation is critical. Process new calves promptly on arrival."
Dog,Bulldog,3,Female,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,No,Yes,Yes,Yes,Yes,Yes,39.2°C,125,Canine Leptospirosis,Ampicillin or amoxicillin (initial 2-week course) to clear leptospiremia; followed by doxycycline (4 weeks) to eliminate renal carrier state. IV fluids for renal and hepatic support; dialysis in severe renal failure.,"Leptospirosis (4-serovar) vaccine annually, especially for dogs with outdoor/water exposure. Avoid contact with stagnant water and wildlife urine. Rodent control around property."
Cat,Russian Blue,2,Male,Nasal Discharge,Loss Of Appetite,Coughing,Fever,Yes,Yes,Yes,Yes,No,Yes,Yes,39.0°C,145,Feline Asthma,"Corticosteroids (prednisolone, dexamethasone) to reduce airway inflammation; bronchodilators (albuterol, terbutaline) for acute relief. Inhaled medications via cat-specific spacers (AeroKat) are preferred for long-term management.","Remove airborne triggers: cigarette smoke, dusty litter, aerosols, and scented candles. Maintain healthy body weight. Annual radiographs to monitor airway changes."
Cow,Red Poll,4,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,No,Yes,No,Yes,39.4°C,77,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Beagle,5,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,No,Yes,Yes,Yes,39.2°C,120,Kennel Cough,"Doxycycline (5 mg/kg orally twice daily for 10 days) for Bordetella; cough suppressants (hydrocodone, butorphanol) for comfort. Severe or complicated cases (pneumonia) may need hospitalization and IV antibiotics.","Bordetella, parainfluenza, and adenovirus-2 vaccines required before kennel stays or group activities. Ensure good kennel ventilation. Disinfect shared items. Isolate coughing dogs."
Cat,Bengal,3,Female,Nasal Discharge,Loss Of Appetite,Coughing,Fever,Yes,Yes,Yes,Yes,No,Yes,Yes,39.1°C,145,Feline Herpesvirus,Famciclovir (antiviral) orally for active outbreaks; topical idoxuridine or trifluridine eye drops for ocular herpes. L-lysine supplementation (500 mg/day) may reduce viral replication. Antibiotics for secondary infections.,Annual FVRCP vaccine reduces severity of disease. Minimize stress (a key reactivation trigger). Use lysine-supplemented food as long-term management.
Cow,Jersey,6,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,No,Yes,Yes,Yes,39.2°C,75,Bovine Viral Diarrhea,"• Management — other short-term infected cattle will usually recover, they might need to be monitored for respiratory diseases like pneumonia. • Humane destruction — PI and MD calves should be humanely euthanized","• Vaccinations — vaccines are available, but more widely used in breeding herd before joining. • Management — avoid mixing susceptible cattle, especially when their BVDV status is unknown. • Management — introducing PI cattle to healthy, non-pregnant cows is sometimes used to immunize the herd, but individual animal’s exposure is unknown."
Dog,Chihuahua,4,Female,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.1°C,110,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Siberian,7,Male,Nasal Discharge,Loss Of Appetite,Coughing,Fever,Yes,Yes,Yes,Yes,No,No,Yes,39.0°C,135,Feline Asthma,"Corticosteroids (prednisolone, dexamethasone) to reduce airway inflammation; bronchodilators (albuterol, terbutaline) for acute relief. Inhaled medications via cat-specific spacers (AeroKat) are preferred for long-term management.","Remove airborne triggers: cigarette smoke, dusty litter, aerosols, and scented candles. Maintain healthy body weight. Annual radiographs to monitor airway changes."
Cow,Ayrshire,5,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,No,Yes,Yes,Yes,39.3°C,82,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Boxer,6,Female,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.1°C,115,Canine Leptospirosis,Ampicillin or amoxicillin (initial 2-week course) to clear leptospiremia; followed by doxycycline (4 weeks) to eliminate renal carrier state. IV fluids for renal and hepatic support; dialysis in severe renal failure.,"Leptospirosis (4-serovar) vaccine annually, especially for dogs with outdoor/water exposure. Avoid contact with stagnant water and wildlife urine. Rodent control around property."
Cat,Abyssinian,5,Male,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,No,Yes,No,Yes,Yes,Yes,39.0°C,140,Feline Respiratory Disease Complex,"Antibiotics (doxycycline, azithromycin) targeting Chlamydophila and Bordetella; antiviral famciclovir for herpesvirus. Nebulization therapy with saline helps loosen secretions. Appetite stimulants if anorexic.",Vaccinate with FVRCP (covers FHV-1 and FCV). Isolate affected cats; disinfect bowls and bedding. Reduce stress and overcrowding in multi-cat environments.
Cow,Belted Galloway,4,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,No,Yes,Yes,Yes,39.4°C,75,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Yorkshire Terrier,4,Male,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,No,Yes,Yes,No,Yes,39.2°C,100,Canine Heartworm Disease,"Pre-treatment with doxycycline (4 weeks) to weaken Wolbachia bacteria in worms. Melarsomine dihydrochloride (adulticidal, 2-3 injections). Strict exercise restriction for 6-8 weeks post-treatment; ivermectin/milbemycin for microfilariae.","Monthly heartworm preventive year-round (ivermectin, milbemycin, selamectin, or moxidectin). Annual blood testing. Mosquito control (the vector); keep dogs indoors during peak mosquito hours."
Cat,Maine Coon,6,Female,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,Yes,No,Yes,Yes,Yes,39.1°C,145,Feline Leukemia,"No cure; management includes chemotherapy (cyclophosphamide, vincristine, prednisolone) for FeLV-associated lymphoma. Supportive care: blood transfusions for anemia, antibiotics for infections, appetite stimulants.",FeLV vaccination is strongly recommended for outdoor or at-risk cats. Test all new cats before household introduction; isolate positive cats from FeLV-negative animals.
Dog,Rottweiler,7,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,No,Yes,Yes,Yes,Yes,39.3°C,110,Kennel Cough,"Doxycycline (5 mg/kg orally twice daily for 10 days) for Bordetella; cough suppressants (hydrocodone, butorphanol) for comfort. Severe or complicated cases (pneumonia) may need hospitalization and IV antibiotics.","Bordetella, parainfluenza, and adenovirus-2 vaccines required before kennel stays or group activities. Ensure good kennel ventilation. Disinfect shared items. Isolate coughing dogs."
Cat,Persian,4,Female,Vomiting,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.1°C,125,Feline Infectious Peritonitis,"GS-441524 (antiviral, 4-6 mg/kg SQ or orally) for 12 weeks is the current gold-standard treatment with high remission rates. Prednisolone as supportive anti-inflammatory; drainage of effusions for comfort.",Reduce fecal-oral transmission of FCoV in multi-cat households (daily litter box cleaning). Minimize stress. An intranasal FIP vaccine is available in some countries but efficacy is debated.
Cow,Holstein,8,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,No,Yes,Yes,Yes,39.5°C,80,Bovine Respiratory Disease Complex,Combination antibiotic therapy based on herd pathogen profile; NSAIDs for fever and inflammation. Monitor and re-treat non-responders within 48-72 hours with an alternative antibiotic.,"Comprehensive vaccination protocol including IBR, BVD, BPI3, BRSV. Good colostrum management in calves. Processing protocols upon feedlot entry reduce BRD risk significantly."
Dog,Golden Retriever,5,Male,Vomiting,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,No,Yes,Yes,39.2°C,130,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Bengal,3,Female,Nasal Discharge,Loss Of Appetite,Coughing,Fever,Yes,Yes,No,Yes,No,Yes,Yes,39.0°C,145,Feline Panleukopenia,"Intensive supportive care: IV fluid and electrolyte replacement, antiemetics (maropitant), broad-spectrum antibiotics (ampicillin + enrofloxacin), and nutritional support. Whole blood or plasma transfusion for severe cases.",FVRCP vaccination (core) is highly effective; start series at 6-8 weeks. Isolate unvaccinated kittens from all feline contact. Use parvocide disinfectants (dilute bleach) in contaminated areas.
Cow,Jersey,6,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,No,Yes,Yes,No,39.6°C,70,Johne'S Disease,"No curative treatment; supportive management with quality nutrition, probiotics, and reduced stress. Antidiarrheal agents may provide temporary relief. Culling of clinical cases is recommended.",Annual herd testing with test-and-cull for positive animals. Feed calves from low-risk cows; ensure clean colostrum. Prevent manure contamination of feed and water sources.
Dog,Beagle,4,Female,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,No,Yes,Yes,Yes,No,39.2°C,120,Distemper,"Supportive care is the only treatment option; IV fluids, anticonvulsants for seizures, antibiotics for pneumonia, and physiotherapy for neurological deficits. Ribavirin has been used experimentally.",Core CDV vaccination is the most effective prevention. Avoid exposure of unvaccinated dogs to wildlife. Isolate affected dogs to prevent spread.
